participant,accuracy,precision,recall
AP01,0.9478594950603733,0.8984376223761057,0.9478594950603733
AP02,0.9135104578858112,0.8345013566667445,0.9135104578858112
AP03,0.9899764150943396,0.9800533024430402,0.9899764150943396
AP04,0.9125258799171843,0.8327034815186314,0.9125258799171843
AP05,0.7944339025932954,0.6311252255896135,0.7944339025932954
